ID,Sens_0mM_r1,Sens_0mM_r2,Sens_0mM_r3,Sens_15mM_r1,Sens_15mM_r2,Sens_15mM_r3,Tol_0mM_r1,Tol_0mM_r2,Tol_0mM_r3,Tol_15mM_r1,Tol_15mM_r2,Tol_15mM_r3
ESR52892,3.7904,4.6974,3.9649,2.5892,2.5961,2,4.893,6.6365,3.7157,3.6763,4.2452,4.4627
ESR35878,6.4929,7.8668,6.2774,5.712,7.84,6.1884,9.0176,9.5559,7.3487,6.4504,8.6254,7.8241
ESR42840,3.7904,4.1671,4.1336,3.0063,4.8359,2,5.9608,6.2588,5.0549,3.905,5.5552,3.8102
ESR66035,6.8412,7.9153,6.2409,6.5666,7.3178,5.7867,9.1756,9.8103,6.9184,6.4137,8.4359,7.7853
ESR49245,3.7904,3.8048,3.2939,3.0063,3.0167,2.9889,5.7004,5.8921,5.5808,5.2071,5.8169,5.3255
ESR45334,4.0264,6.3541,4.6608,4.5954,5.6155,3.7915,6.5413,8.0219,5.6349,5.0245,6.5797,6.1737
ESR34450,7.3343,7.084,6.8615,6.8195,6.0312,7.0228,5.1233,5.5828,4.5912,4.6982,3.9282,4.3251
ESR53256,2.6913,6.5511,5.206,6.919,6.5865,6.7334,6.3115,7.2206,6.4303,5.3692,6.4925,6.8112
ESR40388,5.5174,7.4227,6.2774,5.819,7.3544,5.8372,8.4803,9.3643,6.5192,5.8802,8.1621,7.379
ESR53814,11.6911,10.8356,11.4816,11.3071,11.4158,11.1275,8.2959,9.3892,8.7415,11.8412,9.642,9.8337
ESR64960,2.6913,5.1667,4.8663,3.0063,4.1959,3.9833,6.1115,6.46,5.4053,4.2759,5.8169,6.0482
ESR55558,5.1686,5.0843,4.959,3.8163,4.6127,3.7915,6.1468,7.8535,4.8868,4.1023,6.4313,6.4301
ESR62078,5.6645,6.4228,4.546,7.8578,7.4075,5.5645,4.7162,4.7505,4.6966,6.2976,6.6351,7.7454
ESR45940,2,4.4565,2.9767,2.5892,3.6072,3.3086,5.7004,4.269,5.7859,5.0245,5.0844,4.5883
ESR48332,9.6093,7.1664,9.5345,8.7806,8.2027,9.4856,7.2587,5.8449,7.767,9.9025,8.5483,8.9465
ESR37778,8.2939,10.4517,8.3966,9.0946,9.3323,8.3089,10.7865,11.8979,9.5536,8.4552,10.611,10.8635
ESR66783,7.8774,5.9035,7.7353,5.5965,5.4897,7.1281,5.9205,4.6444,7.2655,7.3983,4.0954,6.3614
ESR59743,5.7328,4.9038,6.9088,3.8163,4.025,4.5664,4.4021,4.1185,3.2453,2,3.9282,3.8102
ESR64871,9.0901,8.6618,7.6819,6.8948,8.1096,6.8611,10.0591,10.6599,7.6273,7.3409,9.4078,8.6113
ESR57978,5.5174,6.8792,5.206,5.0985,6.0312,5.6234,7.8036,8.5924,5.7859,5.0245,7.4601,7.5738
ESR39063,9.4203,10.5644,9.1183,8.839,10.6087,8.6218,11.8659,12.3424,10.0701,9.0996,11.3671,9.987
ESR59744,5.5928,4.8043,6.8854,3.3295,3.342,4.8876,5.0506,4.1185,3.2453,3.6763,2.9525,3.002
ESR40818,4.4069,3.3198,4.6608,5.3332,4.6127,4.4412,2.5146,2,2,2.6313,2.9525,2
ESR41536,7.3122,9.0132,7.554,7.4385,8.6403,6.8853,9.6335,10.9615,8.2894,7.8467,9.6043,9.5197
ESR50808,3.7904,4.582,3.774,3.5933,4.8359,2.5776,6.402,6.1072,5.3417,4.2759,6.2303,5.7586
ESR47625,4.8375,2,2.5695,3.0063,4.1959,4.6816,2.8931,4.4052,2,4.6982,5.6115,3.002
ESR34044,6.8718,8.9272,6.54,7.1415,7.7191,6.8853,9.1713,10.1625,7.9164,7.1081,9.226,9.3032
ESR63816,4.0264,8.0517,6.4147,8.1621,7.8656,7.7196,7.8146,8.3521,8.3633,7.3603,8.0444,7.9697
ESR40080,5.264,4.8043,5.1283,3.5933,4.9358,3.7915,3.652,3.7602,4.5912,7.3603,2.5535,3.8102
ESR41533,3.5081,5.3187,4.6608,4.7111,4.4867,2.9889,6.6683,6.329,6.603,6.1268,5.6657,6.2133
ESR43686,2.6913,3.3198,2.9767,3.0063,3.6072,2,5.1233,6.0249,3.2453,2,4.2452,4.4627
ESR33867,2,3.3198,2,2,3.0167,2.5776,5.1926,5.4629,4.0698,2.6313,4.3809,3.002
ESR34251,4.0264,5.1667,4.7672,4.8181,5.6155,4.7883,7.2587,7.1448,7.2482,6.684,7.096,6.9812
ESR62076,6.7452,8.1563,6.9546,6.8948,8.4338,7.7463,9.9332,10.3022,9.0408,8.3906,9.8257,8.862
ESR58747,8.6612,7.7107,7.9872,8.0676,7.6908,8.1073,5.5501,5.5828,6.007,6.3374,5.7179,5.5886
ESR52873,3.5081,3.9973,2.5695,3.3295,4.025,2.5776,5.7925,6.551,3.9036,3.6763,5.3052,4.1731
ESR34650,2.6913,5.4561,3.774,4.332,5.2777,5.0678,6.431,7.3274,4.8868,4.6982,6.0384,5.091
