ID,Sens_0mM_r1,Sens_0mM_r2,Sens_0mM_r3,Sens_15mM_r1,Sens_15mM_r2,Sens_15mM_r3,Tol_0mM_r1,Tol_0mM_r2,Tol_0mM_r3,Tol_15mM_r1,Tol_15mM_r2,Tol_15mM_r3
ESR46593,4.5651,3.8048,4.7672,3.8163,4.3486,3.9833,5.3824,4.1185,5.4053,4.8154,4.5049,4.7038
ESR44960,4.9565,6.1259,6.1651,5.6554,6.424,6.0235,6.7395,6.9579,6.2687,6.1268,6.7398,6.5274
ESR33058,8.975,9.4269,9.4209,8.4962,9.5088,9.0493,9.7925,10.5035,9.0002,8.9475,9.9672,9.4958
ESR61481,5.9777,4.582,4.2845,4.1797,5.0291,5.1501,5.7472,4.7505,4.9733,5.1187,4.5049,5.091
ESR45035,6.5696,5.2447,5.8143,5.535,5.3519,6.1083,5.1233,4.8494,5.2054,5.7091,4.725,5.0035
ESR51776,5.3535,5.2447,5.4168,5.1811,3.8312,4.1526,5.3219,4.7505,5.2752,5.6472,4.8235,5.1735
ESR50544,4.9565,4.9968,5.0461,4.4697,4.4867,3.3086,4.7162,4.1185,5.4053,4.2759,4.725,4.5883
ESR40986,8.989,9.6439,8.9702,9.1622,9.3906,8.7788,10.0215,10.5721,9.7653,9.1892,10.033,9.8526
ESR46714,8.8651,7.7379,8.8238,7.4046,7.4919,8.5093,7.8579,7.4895,7.316,8.2828,8.0238,8.004
ESR65524,6.1374,6.282,6.4147,6.767,6.1607,6.7859,5.4964,4.8494,5.8329,6.2976,5.9096,5.8111
ESR55362,4.0264,4.319,5.1283,4.9178,5.554,4.4412,4.2801,3.9504,4.6966,5.5826,4.725,4.4627
ESR47000,6.6425,6.4228,6.5988,7.279,6.458,6.1884,5.8791,5.8921,5.7373,5.933,5.2353,5.8111
ESR60893,10.1139,9.1563,9.6222,9.5123,9.4124,9.7657,8.9541,8.7858,8.4787,10.2192,8.7991,9.3483
ESR66744,4.2292,5.0843,3.2939,3.8163,3.342,3.7915,3.652,4.6444,4.2188,4.5707,3.9282,4.3251
ESR51491,9.937,9.1308,8.0623,9.6707,8.5005,9.5014,9.008,8.41,8.9794,9.1111,8.8051,8.7387
ESR40995,5.3535,3.8048,4.959,3.8163,4.1959,4.4412,3.8365,4.942,4.0698,4.8154,4.0954,4.9104
ESR54857,8.1006,7.3363,7.7994,7.2601,6.9148,7.1281,7.0506,6.2943,6.603,7.2605,6.3997,6.6763
ESR45081,7.3122,7.6258,7.5239,6.845,7.9516,6.3363,6.6683,6.46,7.4577,6.4504,7.332,6.7318
ESR61773,4.9565,5.7515,5.3499,6.0118,5.9853,5.7867,6.7395,6.6086,5.6349,5.6472,6.662,5.7586
ESR36826,10.9927,10.4903,10.8096,10.4637,10.2644,10.5646,9.7443,9.21,10.1581,10.3415,9.4813,9.7854
ESR54110,8.1884,8.1257,8.1236,8.2218,8.1413,8.4857,7.4118,7.3274,7.7791,7.8328,6.662,7.1738
ESR66601,6.1869,5.7515,5.7638,4.4697,4.6127,5.3722,5.1926,5.1886,5.2752,5.1187,4.3809,5.1735
ESR40778,6.8412,6.7244,6.3129,5.9659,6.317,6.1083,6.8508,7.6627,6.0474,5.7091,6.8374,6.8112
ESR33352,5.9777,5.6405,5.8631,4.8181,4.8359,5.8372,6.5413,6.396,5.8329,6.3374,5.9967,5.7586
ESR53793,5.9203,4.4565,5.2798,5.2592,4.7286,4.7883,4.6189,5.0289,4.6966,4.4308,3.739,4.7038
ESR66243,4.5651,3.9973,4.4211,4.4697,4.1959,4.1526,4.7162,5.8449,3.9036,5.1187,4.9158,4.5883
ESR57186,8.0746,7.105,6.7097,6.6845,7.3178,6.9784,7.8256,8.3093,6.7814,6.9632,7.4754,7.1937
ESR50877,4.9565,5.2447,4.959,5.011,5.4897,5.3019,6,6.396,5.3417,4.8154,5.4356,6.3614
ESR44531,5.5928,6.9272,6.6553,7.1821,7.3723,7.3533,6.7162,6.8426,7.7178,7.2397,6.9938,7.3258
ESR60225,5.7328,6.8545,6.9546,7.5669,7.2803,6.8611,5.9205,6.2224,6.5477,7.0614,6.6077,6.4633
ESR58771,6.9881,5.9966,6.3815,6.919,5.6745,6.3711,6.1468,5.8921,5.8329,7.0849,6.0789,5.396
ESR65654,5.1686,6.8039,6.0003,6.1411,5.7857,5.228,6.6438,6.7688,6.125,6.0807,6.4622,6.3961
ESR40439,5.264,4.8043,4.1336,4.0094,3.8312,4.9805,4.6189,4.7505,3.7157,3.905,3.739,4.003
ESR61109,5.9777,5.9035,5.4808,5.0985,5.4897,5.7867,7.1584,5.9377,5.6349,5.6472,6.5222,5.5886
ESR41577,6.7779,6.041,6.8127,5.7665,5.889,6.1884,7.0318,7.2927,5.7859,6.1715,6.9065,6.8368
ESR62663,9.6407,8.9033,9.2571,9.0011,8.5798,9.2067,9.6944,9.4769,7.8494,8.6492,9.3958,9.5276
ESR39590,7.5579,6.5201,6.8615,6.0118,6.0312,6.4382,6.3423,6.0249,5.8784,5.4439,6.0384,6.3614
ESR55966,4.5651,4.4565,3.774,3.3295,5.1995,3.9833,4.7162,4.5297,4.5912,3.6763,4.2452,4.8108
ESR44263,5.7981,6.5511,6.1256,5.819,6.0312,5.5645,7.0506,7.1641,5.8784,5.5826,6.5512,5.958
ESR51847,2.6913,4.1671,4.4211,3.5933,4.025,3.5701,4.5145,3.541,4.0698,4.2759,4.5049,4.3251
ESR59239,5.0665,5.3187,5.6572,4.9178,4.9358,4.5664,5.7925,6.0249,5.7859,5.984,6.1182,6.0912
ESR34185,4.4069,5.1667,4.6608,4.4697,5.0291,4.8876,5.3219,5.7961,4.8868,3.6763,5.2353,4.7038
ESR39534,5.5928,5.6971,4.7672,4.9178,5.1995,4.8876,5.602,6.0666,6.1986,4.4308,5.5552,5.5886
ESR62381,4.9565,4.319,3.774,3.5933,3.342,4.8876,4.893,4.4052,4.5912,4.2759,4.8235,4.4627
ESR36211,4.4069,5.9508,5.0461,5.8697,5.6745,5.8861,5.5501,6.3629,6.1986,5.6472,5.8169,6.1737
ESR63062,7.6133,6.7779,7.5087,6.597,6.3892,6.7599,6.6189,5.982,7.1953,6.9116,6.0384,6.1331
ESR57521,7.3122,7.0189,6.7621,6.2973,5.6745,6.5022,7.3219,6.4284,6.5477,6.2147,7.3814,7.2134
ESR40615,4.7077,5.8546,5.1283,5.9186,6.0312,5.8372,6.5935,6.185,6.3678,6.0332,5.7683,6.4633
ESR43415,4.2292,5.0843,3.774,5.011,4.9358,4.9805,4.6189,4.269,4.6966,3.6763,5.1618,5.2515
ESR65625,6.9311,7.0626,6.54,5.9659,6.5554,5.9791,7.5369,7.7029,6.8965,6.7443,7.2808,6.8619
ESR34793,5.6645,6.5201,6.2774,6.5038,7.0767,6.4706,6.8508,7.4741,7.2308,6.6528,7.3814,7.3077
ESR65366,8.2362,8.0077,8.083,7.627,7.9985,7.622,7.5892,9.4769,7.4274,7.6556,8.0029,8.1739
ESR55271,3.5081,5.1667,3.9649,4.5954,4.9358,4.1526,4.5145,3.9504,4.7949,5.1187,5.0844,4.7038
ESR51710,3.5081,4.582,4.546,4.9178,5.0291,4.6816,5.1926,5.7457,4.3539,4.5707,4.5049,4.9104
ESR61756,6.2348,7.1462,7.2762,7.1619,7.3178,6.4706,8.0935,7.6896,7.5308,7.4893,7.738,7.7984
ESR38402,9.6047,8.6969,9.5041,9.0293,8.8659,9.331,8.2641,8.2381,7.9908,8.4093,8.4043,8.3877
ESR62118,5.0665,6.8039,5.9103,6.8195,6.9629,6.7065,6.1813,6.7688,6.3678,6.0807,6.3674,6.7318
ESR56935,7.22,8.6969,8.2205,8.8068,8.9095,8.5853,8.7453,9.4961,8.9099,8.5928,8.8467,8.7113
ESR40638,7.784,9.1961,8.5158,9.7438,8.9217,9.5247,8.3423,8.6756,9.2673,8.7556,8.921,9.1537
ESR44440,4.7077,6.3889,6.4147,6.2213,6.0312,5.9333,6.6924,6.2943,6.3678,6.1268,5.9096,6.8368
ESR45682,5.0665,4.4565,4.546,4.8181,5.2777,5.0678,6,5.8449,6.007,5.1187,4.725,4.9104
ESR63083,4.5651,3.5826,4.6608,3.5933,4.3486,3.9833,4.5145,5.1886,4.5912,4.1023,4.2452,3.3243
ESR56555,8.8109,7.8038,8.3024,7.4046,7.5083,8.2726,8.0475,9.2285,7.5308,7.9906,8.3224,8.1938
ESR57047,4.5651,5.8546,5.0461,4.0094,5.0291,5.6234,5.4964,5.6934,5.687,4.9237,5.2353,5.396
ESR65620,5.9203,5.6971,6.3129,5.3332,5.7312,5.4392,5.3824,5.3323,5.0549,5.5149,4.0954,5.2515
ESR51057,4.5651,6.3889,6.4787,6.3695,6.2409,6.2643,6.1468,6.5801,6.603,6.1268,6.0789,6.3257
ESR51529,8.5893,8.3801,8.6678,8.3611,8.2808,8.3267,9.6914,9.6617,9.1282,9.2837,9.4547,9.0593
ESR60570,8.1263,8.7712,8.0306,8.3433,8.6328,8.1972,9.3141,9.6062,8.486,7.9655,9.2439,8.6622
ESR47251,7.0158,7.9506,7.3804,7.2976,7.6765,7.5328,8.65,8.5924,7.8721,7.8328,8.5554,8.1938
ESR59674,6.0861,4.1671,5.4808,4.7111,4.4867,4.7883,5.4964,5.1886,4.6966,4.8154,4.9158,4.4627
ESR66656,5.6645,6.206,4.7672,5.535,6.0312,5.5645,6.6189,5.9377,6.3678,5.933,6.6351,6.3961
ESR52825,11.598,10.5944,11.1987,10.5767,10.3506,11.0705,10.0867,9.8346,10.1581,10.5671,10.007,10.1436
ESR59698,5.7981,6.7514,6.3476,6.2973,6.7599,6.8114,7.602,7.4741,6.7814,6.885,7.1914,7.4797
ESR66881,4.2292,5.6971,4.2845,5.712,5.1995,5.3019,5.0506,6.0249,5.0549,5.2904,5.1618,4.8108
ESR60601,5.7981,5.4561,5.3499,4.9178,4.025,4.4412,4.893,4.4052,5.2054,5.1187,4.5049,4.3251
ESR61788,5.264,6.7244,5.8631,6.8701,6.6758,6.2643,6.5676,7.3102,6.603,6.2976,6.9288,6.7318
ESR46755,3.7904,3.5826,3.9649,5.0985,4.3486,4.8876,4.1468,4.4052,3.4996,4.1023,3.5213,4.7038
ESR36812,3.7904,4.319,5.0461,4.9178,4.8359,4.4412,4.2801,5.1886,4.7949,4.8154,5.5552,3.8102
ESR49017,4.8375,4.582,4.7672,4.7111,4.6127,4.9805,5.2587,5.1886,4.0698,3.4044,4.2452,5.1735
ESR46032,4.9565,5.804,5.6572,4.7111,6.1188,4.5664,5.4964,5.8449,5.5246,6.2568,5.8169,5.8111
ESR36933,9.4861,8.4476,9.2753,8.9897,8.6983,9.4373,8.1115,7.9118,8.5786,9.3189,8.2534,8.6905
ESR38266,8.9536,8.7908,9.0249,9.0514,8.7677,9.2907,7.6884,7.7161,8.6327,8.7483,8.0134,8.2424
ESR62649,6.0861,6.456,6.1256,5.4037,5.6745,5.5645,5.3219,5.7961,5.7373,5.2071,4.6191,4.8108
ESR57730,6.8412,7.354,6.9769,7.202,7.1821,6.5022,7.8896,8.3266,7.3807,6.5551,7.7631,7.3438
ESR53905,6.0329,5.2447,5.206,5.3332,5.7857,4.3041,6.215,6.1072,5.7373,5.7091,5.7179,5.091
ESR53381,8.1514,8.136,7.7994,7.5201,7.9516,7.3002,8.7162,9.2193,7.791,7.7321,8.541,8.1537
ESR49060,9.9972,9.5701,9.3754,10.0237,9.4884,9.736,9.1144,8.3605,9.7864,9.7041,8.6458,8.8682
ESR52437,4.7077,5.9035,5.542,6.0118,6.2409,6.3008,5.3824,4.942,5.687,5.4439,5.2353,4.8108
ESR39551,4.2292,4.9968,4.6608,5.011,4.4867,4.8876,3.8365,3.541,3.7157,4.2759,4.2452,3.5876
ESR45807,4.2292,4.319,4.8663,4.7111,3.6072,4.3041,3.1926,4.1185,3.9036,4.8154,4.2452,5.0035
ESR64418,9.6974,9.0408,9.0249,8.9133,8.8532,9.2019,8.2479,8.0325,8.4028,8.6173,8.1044,7.9812
ESR64378,6.8099,5.5816,6.5697,5.011,5.2777,5.9791,6.0381,5.6391,5.687,5.8802,6.4622,6.2892
ESR55476,11.598,10.6528,10.3217,10.7523,9.5129,10.9806,10.6999,10.226,10.2669,9.8757,10.3487,10.2661
ESR45833,11.4009,10.876,11.2164,11.1171,10.9128,11.2375,9.77,10.0553,10.2146,10.5052,10.1937,10.4696
ESR49895,5.1686,6.7514,5.9103,6.3695,6.424,6.0665,6.4872,7.2927,6.7814,6.0807,6.3997,6.7318
ESR49173,4.5651,4.4565,4.546,5.2592,5.3519,3.7915,5.1926,5.3323,4.0698,5.3692,4.8235,5.091
ESR54815,5.4378,4.6974,5.4168,4.8181,4.7286,4.4412,5.7004,5.1886,4.4774,5.1187,5.864,6.0038
ESR55416,3.7904,4.582,3.774,4.9178,3.8312,5.0678,5.3219,4.7505,4.9733,4.5707,4.8235,5.0035
ESR66926,7.0158,8.758,8.4454,8.984,8.8659,8.5778,8.5935,9.0477,8.6656,8.6173,8.8467,8.9169
ESR46189,4.9565,5.9966,4.7672,5.0985,5.3519,4.7883,5.7004,4.6444,6.2341,5.2904,4.8235,5.8111
ESR65979,5.0665,4.1671,4.4211,4.0094,3.8312,3.3086,4.2801,4.269,3.9036,4.8154,3.2647,3.8102
ESR32547,8.7043,8.9506,8.4927,8.5516,9.1468,8.4537,9.7122,9.7855,8.3871,8.0396,9.1329,8.5586
ESR34425,6.0861,6.206,6.447,7.0122,6.458,6.9557,6,5.4629,5.5808,5.2904,6.1566,6.1737
ESR52776,5.4378,6.206,5.7638,5.2592,5.6155,5.6234,6.402,6.8184,6.3994,6.2147,6.8374,6.4957
ESR63154,5.9777,6.041,5.3499,6.2973,5.554,6.651,4.893,5.9377,5.2752,5.0245,6.1566,5.6476
ESR45138,8.7128,10.3206,9.839,10.4367,10.3573,10.4413,10.286,10.7823,10.6067,9.9577,10.3549,10.4261
ESR54922,6.0329,5.7515,5.7115,6.9663,6.6758,6.4382,5.1233,6.46,6.603,6.6528,5.7683,6.0482
ESR63394,5.7981,5.1667,5.542,6.0118,5.2777,5.8372,5.1926,5.1109,4.9733,6.2976,5.1618,4.3251
ESR40987,8.6699,9.3138,8.8723,8.8766,9.203,8.3874,9.8472,10.2624,9.4556,8.9855,9.6621,9.5776
ESR66773,4.8375,3.3198,4.7672,4.4697,4.4867,4.4412,4.4021,4.4052,4.5912,3.4044,3.5213,4.5883
ESR52413,4.2292,4.319,3.774,3.8163,3.8312,3.5701,4.6189,4.942,5.0549,5.0245,4.725,4.003
ESR49127,4.5651,3.8048,4.6608,4.1797,5.3519,4.4412,5.4405,4.6444,3.9036,4.4308,4.9158,5.2515
ESR42465,7.3343,8.6618,7.3971,8.5974,8.8659,8.4292,7.9707,8.6688,8.6127,8.5928,8.87,8.7319
ESR41553,5.5174,6.9965,6.1651,7.3521,7.1408,7.2637,6.7625,7.3613,7.0235,6.8304,6.9938,7.07
ESR53859,6.5318,8.0733,7.063,7.1415,7.1616,6.2643,7.602,7.9458,7.7426,7.2605,7.5636,7.2893
ESR42046,4.7077,6.1259,4.7672,6.2598,5.7312,5.9791,5.4405,6.0249,6.3355,5.8802,5.6115,5.396
ESR42910,5.1686,4.6974,5.542,5.4708,5.1995,4.9805,5.9608,5.1109,6.1623,6.2147,6.3005,5.8111
ESR58820,4.4069,3.8048,4.4211,5.0985,3.8312,4.8876,4.6189,3.541,4.0698,3.6763,3.5213,3.8102
ESR34457,6.8099,5.2447,6.0433,5.4037,5.7857,6.0665,4.974,5.1109,5.4662,5.1187,5.3052,5.2515
ESR37421,8.1006,7.7244,8.0091,7.627,7.662,7.7725,6.8721,7.044,7.3807,7.4354,6.8838,6.2892
ESR38890,5.9777,5.9966,5.2798,5.7665,5.2777,5.9791,5.3824,4.6444,5.2054,5.0245,5.0844,4.3251
ESR46413,3.7904,4.8043,5.3499,5.3332,5.1169,4.5664,5.7004,5.6391,4.8868,4.5707,5.3052,5.091
ESR54400,4.2292,3.9973,5.3499,3.8163,3.6072,4.4412,4.893,4.8494,4.7949,4.6982,3.9282,4.003
ESR55623,10.8032,11.1985,10.7263,11.2533,11.0749,10.9247,11.1926,11.4264,12.5513,12.0166,10.803,11.3616
ESR64753,5.264,4.9968,5.6572,4.9178,5.1169,5.228,4.893,4.942,5.0549,5.1187,3.5213,5.5886
ESR57261,3.1567,4.9038,4.1336,4.4697,4.025,3.5701,4.2801,4.7505,3.4996,4.6982,4.0954,4.003
ESR64527,6.6425,7.1664,7.3465,6.74,6.5237,6.9557,7.6147,8.1728,7.9054,7.7172,7.7125,7.6038
ESR32942,7.7011,8.354,7.3971,7.279,7.6473,7.7855,8.8615,8.3521,8.0715,7.8189,8.9594,8.2328
ESR32525,8.0209,7.8038,8.0091,7.2976,7.6325,7.3002,8.722,8.8707,8.2809,7.7172,8.6458,8.3963
ESR51813,5.8604,5.804,6.5988,6.6845,6.1607,6.3008,5.3824,5.3991,5.4662,6.1715,4.9158,6.0912
ESR61452,7.4402,8.0299,7.7613,7.4385,7.9516,7.2262,8.5999,9.0214,8.0715,7.702,8.5338,8.2424
ESR37805,10.3111,10.8481,10.54,10.2485,10.6181,10.2747,11.6225,11.7141,10.5603,10.1623,11.3098,10.7353
ESR44011,3.5081,4.6974,4.1336,4.8181,4.6127,4.3041,5.0506,5.2622,4.4774,3.6763,5.0026,4.4627
ESR65347,5.8604,4.4565,5.6572,5.2592,4.6127,5.8861,4.974,4.4052,5.0549,5.1187,4.5049,5.396
ESR44541,5.1686,5.0843,4.8663,5.8697,4.9358,5.9791,5.1233,4.8494,5.8329,6.2976,5.4967,6.1737
ESR59372,5.5928,6.669,6.2774,7.0566,7.2418,6.5933,7.1926,7.6213,7.1214,6.5211,7.056,6.7852
ESR46493,6.0861,7.4883,6.9989,7.895,7.7875,7.9553,7.51,7.7802,7.7791,7.5914,7.5778,8.0263
ESR43932,5.5174,5.0843,5.0461,5.0985,4.8359,5.3019,4.5145,4.5297,3.4996,4.9237,5.0026,4.3251
ESR50084,5.4378,4.582,4.6608,4.4697,4.6127,4.8876,5.5501,6.0666,5.3417,5.5826,5.5552,5.7041
ESR61396,8.8109,9.3758,8.6046,8.839,9.0719,8.5478,9.7981,10.0835,9.0656,8.5428,9.8107,9.4593
ESR64167,4.2292,4.6974,3.9649,3.5933,3.8312,3.7915,4.8073,5.2622,3.9036,4.2759,4.9158,4.7038
ESR55767,5.264,4.6974,3.774,4.5954,3.342,4.6816,4,4.5297,4.2188,3.905,4.6191,4.8108
ESR41322,7.7181,7.3888,7.446,7.279,7.0095,6.9092,8.3193,8.722,7.8263,7.5412,8.1335,7.8743
ESR55017,5.1686,4.9038,5.7115,5.011,5.554,5.7343,6.1468,6.491,5.5808,6.2976,6.1939,6.2517
ESR55061,3.1567,3.8048,3.2939,4.1797,4.1959,3.9833,4.2801,4.269,4.8868,4.1023,4.9158,4.4627
ESR46391,5.3535,7.1664,6.1651,6.919,7.1198,7.1681,6.5413,6.664,7.0031,6.4137,6.9065,7.0483
ESR58240,5.8604,5.804,6.0433,6.0993,6.317,6.4382,6.9541,7.4895,6.007,5.984,6.9938,6.6763
ESR46292,6.8412,8.6185,8.0518,8.4881,8.6912,8.3178,8.4941,8.9284,8.5366,8.003,8.4514,8.5275
ESR39267,7.0696,7.084,6.9769,6.9663,6.8394,6.8114,7.7586,8.1242,8.0417,7.8874,7.7877,8.0808
ESR62473,8.0746,7.8791,7.1042,8.2022,7.1821,8.7853,7.7586,8.043,6.9824,7.3212,7.7125,7.3615
ESR61220,6.1374,6.9507,6.0433,6.0118,5.7857,5.5645,6.9935,6.6086,6.4902,6.2568,7.2278,6.9346
ESR58207,8.0209,6.9965,7.3804,7.1207,7.1408,7.486,6.5935,6.1072,6.3355,6.7145,6.5512,6.9812
ESR40124,12.863,12.7827,12.7757,13.0874,12.4458,12.997,11.7048,11.664,12.3975,12.1647,11.7205,11.9003
ESR54564,9.0166,8.7646,9.2617,8.9432,9.1777,8.699,7.9408,7.4895,8.4183,8.9411,8.2622,8.3077
ESR47773,5.8604,7.4394,6.2774,7.1207,6.7599,6.6225,7.4262,7.649,6.9184,6.684,7.3814,7.2518
ESR54028,6.7779,5.804,6.0433,5.1811,5.4897,5.5645,6.3423,6.9129,6.3355,6.0807,6.6351,6.0912
ESR62540,10.564,9.6475,10.234,9.9403,9.4884,10.2632,9.4298,8.7982,9.0557,9.5135,9.1472,9.4006
ESR44388,6.4929,6.7779,6.4147,5.6554,6.7869,6.0665,7.226,7.3445,7.0436,6.3374,7.3975,6.9346
ESR39320,9.4811,9.3318,9.1531,9.0293,9.4297,8.9835,9.9154,10.7426,9.3464,9.0164,10.1517,9.7886
ESR45374,5.7981,6.282,5.8631,6.0562,5.6155,5.6234,6.4594,6.8899,5.8329,4.8154,6.3005,6.3961
ESR54934,8.1639,7.7379,8.1336,6.9429,7.1616,7.7196,8.4734,8.41,7.3487,7.3794,8.459,8.102
ESR33256,5.0665,5.4561,4.7672,5.7665,5.2777,5.5645,6.3725,6.3629,5.7373,6.1268,6.3343,6.0482
ESR63600,3.7904,4.9038,5.1283,5.0985,4.8359,5.3019,5.602,5.6391,5.3417,5.8802,4.9158,5.2515
ESR59067,4.8375,2.9982,3.5538,4.1797,4.6127,3.9833,4.1468,3.7602,4.4774,4.1023,4.8235,4.1731
ESR43801,5.1686,6.2445,5.2798,6.2213,5.554,5.8861,6.215,6.185,5.9654,6.5211,6.9288,6.6477
ESR32993,10.5687,9.8325,9.9075,9.9343,10.0218,10.0705,9.3449,8.578,9.9121,10.4699,9.4117,9.5701
ESR51388,4.7077,5.3187,4.4211,4.8181,4.6127,4.5664,5.7925,4.6444,5.7859,5.6472,5.7179,5.1735
ESR32781,16.1704,15.3795,15.6171,15.3717,15.4017,15.7057,14.648,14.3499,15.7325,15.9862,14.9639,15.1366
ESR46909,8.787,8.3715,8.7283,7.2217,7.8271,8.2726,9.0412,8.8998,8.2115,7.8189,8.6987,8.4878
ESR34988,7.8,8.4227,8.1236,8.1104,8.5875,8.353,9.3024,9.6027,8.1845,8.2623,9.0231,8.5964
ESR60328,3.7904,5.5816,5.206,5.011,5.6155,4.9805,5.1926,5.3323,5.8329,5.7091,5.4356,5.1735
ESR48629,4.4069,4.319,3.9649,3.8163,4.7286,3.9833,4.893,5.0289,5.3417,4.4308,4.2452,5.396
ESR56342,4.5651,5.1667,5.6572,4.4697,5.4224,4.1526,5.1233,5.4629,4.9733,4.1023,5.3719,5.3255
ESR61357,3.7904,4.319,4.1336,4.0094,5.3519,3.5701,4.5145,4.8494,4.7949,4.1023,5.0026,4.7038
ESR55541,6.9018,7.2444,7.4777,8.0124,7.5083,8.0761,6.6438,6.396,7.3807,7.4715,6.7894,7.7588
ESR54066,3.1567,4.4565,4.2845,4.8181,4.7286,3.7915,4.2801,3.7602,4.0698,3.4044,4.725,4.3251
ESR56564,6.1374,5.9508,5.8143,6.3695,5.4897,6.6225,5.5501,4.7505,6.125,6.376,5.8169,5.2515
ESR38771,8.7545,9.4963,8.6882,8.889,9.1152,8.9494,9.7501,10.2713,9.5,8.9603,10.0586,9.7656
ESR41617,8.996,8.2632,8.1632,8.8068,8.3366,9.06,8.0381,7.3102,7.9273,9.0225,8.2084,8.0374
ESR50581,4.8375,3.8048,4.7672,4.1797,3.8312,3.7915,4.7162,4.4052,4.6966,5.5826,4.8235,4.5883
ESR35411,6.3696,6.3541,5.4168,6.3695,5.554,5.8861,6.402,6.329,7.1772,7.0849,5.864,6.1331
ESR41406,6.2348,6.1259,6.1256,5.7665,4.6127,6.0235,6.4594,6.5801,5.7859,5.6472,5.9538,6.5584
ESR46194,4.8375,3.9973,4.8663,4.332,4.025,4.3041,3.4405,3.541,3.9036,5.2071,4.2452,4.003
ESR50720,7.6666,7.8791,7.8964,7.6988,7.8656,7.3181,8.7681,8.8044,8.6194,8.4461,8.7622,8.6835
ESR65573,7.6133,8.9212,7.8242,8.0236,8.1621,7.1681,8.8668,8.442,8.5151,7.6077,8.2356,7.7984
ESR47812,5.9203,5.9966,5.4808,6.2213,5.889,6.5933,4.974,4.7505,5.9654,6.1715,5.3719,5.6476
ESR36929,5.7328,7.4559,6.7097,7.6417,7.2418,7.3533,7.3373,7.5348,7.5165,7.5241,7.3651,7.4634
ESR56463,7.7348,8.0945,7.9196,8.1722,7.9396,8.1073,8.9188,8.5635,9.2544,9.1563,8.6791,8.987
ESR54235,5.4378,5.2447,5.2798,5.535,5.7312,5.5645,4.8073,6.491,4.9733,6.1715,6.2658,6.0912
ESR65784,4.9565,4.4565,4.546,4.5954,3.8312,4.7883,4.4021,3.541,4.0698,4.6982,3.739,3.3243
ESR35036,7.2897,5.9508,6.1256,5.9659,5.554,6.7065,5.602,5.3323,5.8784,6.0332,5.9538,5.7041
ESR42206,5.5928,4.9038,4.546,4.9178,5.4897,5.0678,4,4.5297,4.3539,5.7091,5.2353,4.5883
ESR33673,5.6645,4.4565,4.7672,4.332,3.8312,4.4412,4.8073,4.8494,5.0549,5.2904,3.9282,4.4627
ESR50488,6.4929,6.8039,6.4787,6.0562,7.3544,5.4392,6.7625,6.5213,6.8742,6.1715,6.9725,5.8617
ESR54121,6.7118,6.7244,6.0003,6.2598,6.5554,5.8372,7.3972,7.378,7.3325,6.2568,7.0148,6.6186
ESR66141,4.9565,4.582,5.1283,3.5933,3.8312,4.3041,4.5145,3.541,3.9036,3.905,4.725,4.003
ESR34524,8.1006,7.2633,7.1832,7.3873,7.814,7.0445,8.1115,8.442,7.0635,7.1533,8.314,8.0808
ESR41207,7.22,6.8792,7.3804,5.819,6.0757,6.5636,7.1055,7.3945,7.4274,7.281,6.8136,7.1937
ESR56924,9.3622,9.7546,9.4572,9.5282,9.9004,9.5439,10.4699,11.0408,9.6254,9.5048,10.5457,10.1047
ESR49531,5.264,5.1667,5.2798,5.1811,4.7286,5.3722,4.6189,5.1109,3.7157,4.1023,4.9158,5.396
ESR39599,3.7904,5.389,5.3499,5.0985,5.2777,4.9805,5.3824,4.269,4.6966,4.2759,5.3052,4.9104
ESR65557,9.296,8.1462,8.5082,8.6345,8.4675,9.2862,7.8365,7.6896,7.7791,8.3906,8.0134,8.2328
ESR47973,5.1686,4.582,4.1336,4.0094,4.6127,4.5664,5.602,5.6934,5.0549,4.9237,5.1618,5.2515
ESR61208,9.0966,7.5663,7.8727,7.6847,7.2612,8.1073,7.4964,7.8653,8.1845,8.4731,7.2808,7.5889
ESR39667,9.3676,8.9964,9.2753,9.1105,9.0103,9.4856,10.127,9.8909,10.1136,10.3942,10.0407,10.3681
ESR58986,5.3535,5.6971,5.206,4.9178,5.7312,5.4392,6.3725,6.491,5.6349,5.2071,6.2303,6.3614
ESR43481,6.1869,6.1665,6.7097,5.011,5.554,5.5032,6.6924,6.329,6.4902,6.2147,6.6077,5.9106
ESR37190,3.7904,4.8043,4.546,4.332,4.7286,5.3722,5.0506,3.541,4.7949,5.1187,4.8235,4.4627
ESR40914,5.0665,5.0843,4.959,4.332,4.8359,3.3086,4.893,4.269,4.8868,4.1023,5.0026,4.4627
ESR53005,7.8469,8.0625,7.7741,7.0122,7.7191,7.6075,8.7567,8.8529,7.6406,7.3012,8.1526,7.8368
ESR61480,7.1468,6.5201,5.6572,5.712,5.1995,6.0665,6.5935,6.664,6.1623,6.376,5.9538,5.9106
ESR35795,4.7077,5.0843,4.959,5.4708,4.8359,4.9805,4.5145,4.4052,4.4774,4.4308,4.9158,3.3243
ESR39308,3.1567,3.9973,3.5538,4.1797,3.342,4.3041,4.6189,4.7505,4.5912,4.2759,3.5213,4.1731
ESR56512,8.982,10.5002,10.6291,10.3745,10.2858,10.0029,11.0294,10.242,10.8039,10.7082,10.7924,10.4511
